Trees,Depth,Average Galaxy Purity,Average Galaxy Completeness,Average Star Purity,Average Star Completeness,Average Accuracy,Average Time
50,9,0.957365962,0.992432772,0.93391875,0.707416289,0.955025527,31.12027836
60,9,0.958698608,0.992545143,0.933471358,0.709914568,0.956228609,38.01142788
70,9,0.95742431,0.99170048,0.926381452,0.703124459,0.954377572,39.21871519
80,9,0.957133967,0.993211808,0.939361062,0.703159727,0.955402354,43.66656804
90,9,0.956823942,0.992456341,0.932336984,0.69786773,0.954426084,57.85913386
100,9,0.958431753,0.992390902,0.930917886,0.704438509,0.955788697,60.85040698
10,10,0.969474886,0.989478462,0.915241112,0.784901748,0.963591862,18.99507737
20,10,0.968287408,0.990909715,0.92626233,0.778695774,0.963766572,22.7671598
30,10,0.965847401,0.991134235,0.9265127,0.761153476,0.961707658,29.00012922
40,10,0.965900124,0.991594699,0.930353439,0.762262144,0.962159872,36.86672359
50,10,0.96730934,0.991461886,0.929902619,0.77177053,0.963332787,36.88225927
60,10,0.96549267,0.992445983,0.937750926,0.762501681,0.962562277,41.91697159
70,10,0.966183542,0.991854752,0.932042611,0.76316984,0.962617119,48.57517757
80,10,0.965715015,0.991490441,0.931629197,0.767448798,0.962024988,59.20229278
90,10,0.967774703,0.991392136,0.930737916,0.778190762,0.963770157,72.50994201
